Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_sales_count,antecedent_product_type,consequent_sales_count,consequent_product_type
15,frozenset({frozenset({'crudit platter'})}),frozenset({frozenset({'fruit platter'})}),0.014593243570104,0.0113682173667661,0.0057244215109247,0.3922651933701657,34.5054269033345,0.0055585223459336,1.6267486605146848,0.9853992223674234,434,catering,177,catering
14,frozenset({frozenset({'fruit platter'})}),frozenset({frozenset({'crudit platter'})}),0.0113682173667661,0.014593243570104,0.0057244215109247,0.5035460992907801,34.5054269033345,0.0055585223459336,1.9848907522373616,0.9821847411331468,177,catering,434,catering
17,frozenset({frozenset({'crudit platter'})}),frozenset({frozenset({'sandwich platter'})}),0.014593243570104,0.0155607514311053,0.0058856728210916,0.4033149171270718,25.918730140554775,0.0056585909853237,1.6498472591756477,0.9756558462955864,434,catering,272,catering
16,frozenset({frozenset({'sandwich platter'})}),frozenset({frozenset({'crudit platter'})}),0.0155607514311053,0.014593243570104,0.0058856728210916,0.3782383419689119,25.91873014055477,0.0056585909853237,1.5848625332580826,0.9766147218202014,272,catering,434,catering
12,frozenset({frozenset({'scottish shortbread'})}),frozenset({frozenset({'assorted holiday cookies'})}),0.0136257357091026,0.0492622752559864,0.0072563089575102,0.5325443786982249,10.81038940915562,0.0065850742144431,2.0338566516675733,0.9200325141227544,179,cookies,1393,cookies
13,frozenset({frozenset({'assorted holiday cookies'})}),frozenset({frozenset({'scottish shortbread'})}),0.0492622752559864,0.0136257357091026,0.0072563089575102,0.1472995090016366,10.81038940915562,0.0065850742144431,1.1567652120570793,0.9545181290517112,1393,cookies,179,cookies
7,frozenset({frozenset({'apple pie'})}),frozenset({frozenset({'9inch pumpkin pie'})}),0.0632105135854228,0.0486978956704023,0.0166895106022736,0.2640306122448979,5.421807423300446,0.0136112916064181,1.2925837951376162,0.8705901087382694,888,pie,679,pie
6,frozenset({frozenset({'9inch pumpkin pie'})}),frozenset({frozenset({'apple pie'})}),0.0486978956704023,0.0632105135854228,0.0166895106022736,0.3427152317880794,5.421807423300445,0.0136112916064181,1.4252414352503897,0.8573087951038182,679,pie,888,pie
8,frozenset({frozenset({'blueberry pie'})}),frozenset({frozenset({'apple pie'})}),0.0179795210836088,0.0632105135854228,0.0050794162702571,0.2825112107623318,4.469370595771941,0.0039429215085423,1.3056503466903169,0.7904670680532748,268,pie,888,pie
9,frozenset({frozenset({'apple pie'})}),frozenset({frozenset({'blueberry pie'})}),0.0632105135854228,0.0179795210836088,0.0050794162702571,0.0803571428571428,4.46937059577194,0.0039429215085423,1.0678280935789883,0.8286331774583774,888,pie,268,pie
1,frozenset({frozenset({'9inch pumpkin pie'})}),frozenset({frozenset({'12 dinner rolls'})}),0.0486978956704023,0.0453116181568975,0.009191324679513,0.1887417218543046,4.165415615941175,0.0069847442258513,1.1767995563943547,0.7988292198417052,679,pie,641,bread
0,frozenset({frozenset({'12 dinner rolls'})}),frozenset({frozenset({'9inch pumpkin pie'})}),0.0453116181568975,0.0486978956704023,0.009191324679513,0.2028469750889679,4.165415615941175,0.0069847442258513,1.1933745148063255,0.7959957744204275,641,bread,679,pie
3,frozenset({frozenset({'apple pie'})}),frozenset({frozenset({'12 dinner rolls'})}),0.0632105135854228,0.0453116181568975,0.0088688220591792,0.1403061224489795,3.096471239741448,0.0060046514040951,1.110498058405033,0.7227362705286794,888,pie,641,bread
2,frozenset({frozenset({'12 dinner rolls'})}),frozenset({frozenset({'apple pie'})}),0.0453116181568975,0.0632105135854228,0.0088688220591792,0.195729537366548,3.096471239741448,0.0060046514040951,1.164769228683611,0.7091861098955093,641,bread,888,pie
11,frozenset({frozenset({'apple pie'})}),frozenset({frozenset({'raspberry pie'})}),0.0632105135854228,0.0291058614851245,0.0050794162702571,0.0803571428571428,2.760857736446379,0.0032396198174362,1.0557295486763694,0.6808292930162282,888,pie,413,pie
10,frozenset({frozenset({'raspberry pie'})}),frozenset({frozenset({'apple pie'})}),0.0291058614851245,0.0632105135854228,0.0050794162702571,0.1745152354570637,2.7608577364463787,0.0032396198174362,1.1348355858914845,0.6569137647862112,413,pie,888,pie
5,frozenset({frozenset({'assorted holiday cookies'})}),frozenset({frozenset({'12 dinner rolls'})}),0.0492622752559864,0.0453116181568975,0.0056437958558413,0.1145662847790507,2.528408594509904,0.003411642449902,1.0782155292165168,0.6358160496220198,1393,cookies,641,bread
4,frozenset({frozenset({'12 dinner rolls'})}),frozenset({frozenset({'assorted holiday cookies'})}),0.0453116181568975,0.0492622752559864,0.0056437958558413,0.1245551601423487,2.528408594509904,0.003411642449902,1.0860052872075927,0.6331849385307707,641,bread,1393,cookies
